Date,Open,High,Low,Close,Volume
05/19/2025,"588.10","595.54","588.10","594.85","68,168,516"
05/16/2025,"591.25","594.50","589.28","594.20","76,052,094"
05/15/2025,"585.56","590.97","585.10","590.46","71,268,148"
05/14/2025,"587.81","588.98","585.54","587.59","66,283,531"
05/13/2025,"583.41","589.08","582.84","586.84","67,947,234"
05/12/2025,"581.47","583.00","577.04","582.99","78,993,570"
05/09/2025,"566.48","567.50","562.76","564.34","37,603,434"
05/08/2025,"565.24","570.31","561.70","565.06","65,130,793"
05/07/2025,"560.15","563.82","556.04","561.15","55,733,230"
05/06/2025,"557.93","563.35","556.96","558.80","48,264,711"
05/05/2025,"562.57","566.65","561.70","563.51","38,659,219"
05/02/2025,"564.73","568.38","562.38","566.76","60,717,273"
05/01/2025,"560.37","564.07","557.86","558.47","63,186,152"
04/30/2025,"547.57","556.52","541.52","554.54","93,101,453"
04/29/2025,"548.91","555.45","548.55","554.32","47,775,121"
04/28/2025,"551.39","553.55","545.02","550.85","47,613,762"
04/25/2025,"546.65","551.05","543.69","550.64","61,119,594"
04/24/2025,"536.72","547.43","535.45","546.69","64,150,422"
04/23/2025,"540.43","545.43","533.88","535.42","90,590,656"
04/22/2025,"520.14","529.31","519.19","527.25","75,948,117"
04/21/2025,"521.16","521.70","508.46","513.88","69,368,125"
04/17/2025,"527.64","531.17","523.91","526.41","79,868,078"
04/16/2025,"531.68","537.89","520.29","525.66","83,484,805"
04/15/2025,"539.68","543.23","536.81","537.61","56,892,871"
04/14/2025,"544.05","544.28","533.86","539.12","68,033,992"
04/11/2025,"523.01","536.43","520.07","533.94","97,866,328"
04/10/2025,"532.17","533.50","509.32","524.58","162,331,203"
04/09/2025,"493.44","548.62","493.05","548.62","241,867,297"
04/08/2025,"521.86","524.98","489.16","496.48","165,816,609"
04/07/2025,"489.19","523.17","481.80","504.38","256,611,391"
04/04/2025,"523.67","525.87","505.06","505.28","217,965,109"
04/03/2025,"545.11","547.97","536.70","536.70","125,986,000"
04/02/2025,"555.05","567.42","554.81","564.52","76,014,547"
04/01/2025,"557.45","562.94","553.68","560.97","54,609,641"
03/31/2025,"549.83","560.71","546.87","559.39","95,328,211"
03/28/2025,"565.53","566.27","555.07","555.66","71,662,648"
03/27/2025,"567.18","570.90","564.94","567.08","42,164,246"
03/26/2025,"575.19","576.33","567.19","568.59","52,228,898"
03/25/2025,"575.30","576.41","573.69","575.46","38,355,738"
03/24/2025,"570.80","575.15","570.20","574.08","58,766,801"
03/21/2025,"559.28","564.89","558.03","563.98","83,762,961"
03/20/2025,"563.33","570.57","562.60","565.49","62,958,199"
03/19/2025,"562.83","570.95","561.63","567.13","66,555,992"
03/18/2025,"564.80","565.02","559.06","561.02","66,041,422"
03/17/2025,"562.79","569.71","562.35","567.15","49,008,711"
