Metric,SPY,Strategy
Risk-Free Rate,4.24%,4.24%
Time in Market,69.0%,0.0%
,,
Total Return,11%,0%
CAGR% (Annual Return),11.48%,0.0%
,,
Sharpe,0.43,-
RoMaD,0.61,-
Corr to Benchmark,1.0,-
Prob. Sharpe Ratio,42.89%,-
Smart Sharpe,-,-
Sortino,0.63,-19.1
Smart Sortino,-,-
Sortino/√2,0.45,-13.51
Smart Sortino/√2,-,-
Omega,0.0,0.0
,,
Max Drawdown,-18.75%,-
Longest DD Days,-,-
Volatility (ann.),20.31%,0.0%
R^2,0.0,0.0
Information Ratio,-0.03,-0.03
Calmar,0.61,-
Skew,1.59,0.0
Kurtosis,29.9,0.0
,,
Expected Daily%,0.03%,0.0%
Expected Monthly%,0.83%,0.0%
Expected Yearly%,5.55%,0.0%
Daily Value-at-Risk,-1.71%,-
Expected Shortfall (cVaR),-1.71%,-
,,
MTD,5.11%,0.0%
3M,-4.22%,0.0%
6M,-0.67%,0.0%
YTD,-0.25%,0.0%
1Y,11.41%,0.0%
3Y (ann.),11.48%,0.0%
5Y (ann.),11.48%,0.0%
10Y (ann.),11.48%,0.0%
All-time (ann.),11.48%,0.0%
,,
Best Day,10.5%,0.0%
Worst Day,-5.85%,0.0%
Best Month,5.96%,0.0%
Worst Month,-5.57%,0.0%
Best Year,11.69%,0.0%
Worst Year,-0.25%,0.0%
,,
Avg. Drawdown,-2.46%,-
Avg. Drawdown Days,-,-
Recovery Factor,0.68,-
Ulcer Index,0.05,0.0
Serenity Index,0.2,-
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,216.35,0.0
Loss Days,147.65,364.0
Win Days%,59.44%,0.0%
Win Month%,53.85%,0.0%
Win Quarter%,80.0%,0.0%
Win Year%,50.0%,0.0%
,,
Beta,-,0.0
Alpha,-,0.0
Correlation,-,-
Treynor Ratio,-,0%
