Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,69.0%,0.0%
,,
Total Return,118%,0%
CAGR% (Annual Return),15.98%,0.0%
,,
Sharpe,0.62,-
RoMaD,0.47,-
Corr to Benchmark,1.0,-
Prob. Sharpe Ratio,51.79%,-
Smart Sharpe,-,-
Sortino,0.87,-19.1
Smart Sortino,-,-
Sortino/√2,0.61,-13.51
Smart Sortino/√2,-,-
Omega,0.0,0.0
,,
Max Drawdown,-33.68%,-
Longest DD Days,-,-
Volatility (ann.),20.56%,0.0%
R^2,0.0,0.0
Information Ratio,-0.04,-0.04
Calmar,0.47,-
Skew,-0.62,0.0
Kurtosis,18.65,0.0
,,
Expected Daily%,0.04%,0.0%
Expected Monthly%,1.24%,0.0%
Expected Yearly%,13.85%,0.0%
Daily Value-at-Risk,-1.72%,-
Expected Shortfall (cVaR),-1.72%,-
,,
MTD,-2.06%,0.0%
3M,3.27%,0.0%
6M,8.78%,0.0%
YTD,25.35%,0.0%
1Y,25.35%,0.0%
3Y (ann.),11.99%,0.0%
5Y (ann.),14.42%,0.0%
10Y (ann.),15.98%,0.0%
All-time (ann.),15.98%,0.0%
,,
Best Day,9.06%,0.0%
Worst Day,-10.94%,0.0%
Best Month,12.7%,0.0%
Worst Month,-12.44%,0.0%
Best Year,28.77%,0.0%
Worst Year,-18.16%,0.0%
,,
Avg. Drawdown,-1.72%,-
Avg. Drawdown Days,-,-
Recovery Factor,2.64,-
Ulcer Index,0.09,0.0
Serenity Index,0.58,-
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,1063.78,0.0
Loss Days,854.22,1918.0
Win Days%,55.46%,0.0%
Win Month%,65.08%,0.0%
Win Quarter%,76.19%,0.0%
Win Year%,83.33%,0.0%
,,
Beta,-,0.0
Alpha,-,0.0
Correlation,-,-
Treynor Ratio,-,0%
