Metric,SPY,Strategy
Risk-Free Rate,1.66%,1.66%
Time in Market,69.0%,0.0%
,,
Total Return,118%,0%
CAGR% (Annual Return),15.99%,0.0%
,,
Sharpe,0.74,-
RoMaD,0.47,-
Corr to Benchmark,1.0,-
Prob. Sharpe Ratio,87.28%,-
Smart Sharpe,-,-
Sortino,1.04,-19.1
Smart Sortino,-,-
Sortino/√2,0.73,-13.51
Smart Sortino/√2,-,-
Omega,0.0,0.0
,,
Max Drawdown,-33.68%,-
Longest DD Days,-,-
Volatility (ann.),20.56%,0.0%
R^2,0.0,0.0
Information Ratio,-0.04,-0.04
Calmar,0.47,-
Skew,-0.62,0.0
Kurtosis,18.63,0.0
,,
Expected Daily%,0.04%,0.0%
Expected Monthly%,1.24%,0.0%
Expected Yearly%,13.85%,0.0%
Daily Value-at-Risk,-1.72%,-
Expected Shortfall (cVaR),-1.72%,-
,,
MTD,-2.23%,0.0%
3M,2.86%,0.0%
6M,8.55%,0.0%
YTD,26.05%,0.0%
1Y,25.35%,0.0%
3Y (ann.),11.31%,0.0%
5Y (ann.),14.49%,0.0%
10Y (ann.),15.99%,0.0%
All-time (ann.),15.99%,0.0%
,,
Best Day,9.06%,0.0%
Worst Day,-10.94%,0.0%
Best Month,12.7%,0.0%
Worst Month,-16.07%,0.0%
Best Year,28.77%,0.0%
Worst Year,-18.51%,0.0%
,,
Avg. Drawdown,-1.72%,-
Avg. Drawdown Days,-,-
Recovery Factor,2.64,-
Ulcer Index,0.09,0.0
Serenity Index,0.6,-
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,1063.22,0.0
Loss Days,853.78,1917.0
Win Days%,55.46%,0.0%
Win Month%,65.08%,0.0%
Win Quarter%,76.19%,0.0%
Win Year%,83.33%,0.0%
,,
Beta,-,0.0
Alpha,-,0.0
Correlation,-,-
Treynor Ratio,-,0%
